N_PARCELLE;Date_debut;Date_fin;Type_intervention;Detail_intervention;Crop;N;P;K;MG;S;Herbi;Fongi;Mollus;Insect
P101;2016-08-04;2016-08-04;Travail-sol;Reprise_de_sol;_;0;0;0;0;0;0;0;0;0
P101;2016-10-07;2016-10-07;Travail-sol;Prep_Semis;_;0;0;0;0;0;0;0;0;0
P101;2016-10-25;2016-10-25;Traitement;Antilimace;-;0;0;0;0;0;0;0;0.428571428571429;0
P101;2017-04-20;2017-04-20;Traitement;Herbicide;-;0;0;0;0;0;0.733333333333333;0;0;0
P101;2017-05-15;2017-05-15;Traitement;Fongicide;-;0;0;0;0;0;0;0.75;0;0
P101;2017-02-18;2017-02-18;Fertilisation;N;_;60;0;0;0;0;0;0;0;0
P101;2017-02-18;2017-02-18;Fertilisation;N;_;120;0;0;0;0;0;0;0;0
P101;2017-02-18;2017-02-18;Fertilisation;N;_;30;0;0;0;39;0;0;0;0
P101;2017-08-22;2018-07-10;Culture;Culture principale;Colza;0;0;0;0;0;0;0;0;0
P101;2018-07-10;2018-07-10;Recolte;Culture principale;Colza;0;0;0;0;0;0;0;0;0
P101;2017-08-10;2017-08-10;Travail-sol;Decompactage;_;0;0;0;0;0;0;0;0;0
P101;2017-08-14;2017-08-14;Travail-sol;Prep_Semis;_;0;0;0;0;0;0;0;0;0
P101;2017-10-24;2017-10-24;Traitement;Insecticide;-;0;0;0;0;0;0;0;0;11.6
P101;2017-08-22;2017-08-22;Traitement;Antilimace;-;0;0;0;0;0;0;0;0.285714285714286;0
P101;2018-04-18;2018-04-18;Traitement;Insecticide;-;0;0;0;0;0;0;0;0;2
P101;2017-10-27;2017-10-27;Traitement;Herbicide;-;0;0;0;0;0;0.533333333333333;0;0;0
P101;2017-09-26;2017-09-26;Traitement;Insecticide;-;0;0;0;0;0;0;0;0;0.1
P101;2017-07-28;2017-07-28;Traitement;Herbicide;-;0;0;0;0;0;0.6;0;0;0
P101;2018-05-14;2018-05-14;Traitement;Fongicide;-;0;0;0;0;0;0;0.8;0;0
P101;2018-02-14;2018-02-14;Fertilisation;N;_;60;0;0;0;0;0;0;0;0
P101;2018-02-14;2018-02-14;Fertilisation;N;_;84;0;0;0;27;0;0;0;0
P101;2019-02-28;2019-05-13;Culture;Culture principale;Jachere_melifere;0;0;0;0;0;0;0;0;0
P101;2019-05-13;2019-05-13;Recolte;Culture principale;Jachere_melifere;0;0;0;0;0;0;0;0;0
P101;2018-09-03;2018-09-03;Travail-sol;Decompactage;_;0;0;0;0;0;0;0;0;0
P101;2018-10-26;2018-10-26;Travail-sol;Reprise_de_sol;_;0;0;0;0;0;0;0;0;0
P101;2019-05-13;2019-05-13;Travail-sol;Broyage;_;0;0;0;0;0;0;0;0;0
P101;2019-09-04;2019-09-04;Travail-sol;Broyage;_;0;0;0;0;0;0;0;0;0
P102;2009-10-10;2010-07-20;Culture;Culture principale;Ble_tendre_hiver;0;0;0;0;0;0;0;0;0
P102;2010-07-20;2010-07-20;Recolte;Culture principale;Ble_tendre_hiver;0;0;0;0;0;0;0;0;0
P102;2009-09-07;2009-09-07;Travail-sol;Dechaumage;_;0;0;0;0;0;0;0;0;0
P102;2009-10-05;2009-10-05;Travail-sol;Prep_Semis;_;0;0;0;0;0;0;0;0;0
P102;2010-03-10;2010-03-10;Traitement;Herbicide;-;0;0;0;0;0;2;0;0;0
P102;2010-05-04;2010-05-04;Traitement;Fongicide;-;0;0;0;0;0;0;0.733333333333333;0;0
P102;2010-05-28;2010-05-28;Traitement;Insecticide;-;0;0;0;0;0;0;0;0;0.206349206349206
P102;2010-02-16;2010-02-16;Fertilisation;N;_;50;0;0;0;0;0;0;0;0
P102;2010-02-16;2010-02-16;Fertilisation;N;_;76;0;0;0;56;0;0;0;0
P102;2010-02-16;2010-02-16;Fertilisation;N;_;76;0;0;0;0;0;0;0;0
P102;2010-10-03;2011-06-27;Culture;Culture principale;Orge_hiver;0;0;0;0;0;0;0;0;0
P102;2011-06-27;2011-06-27;Recolte;Culture principale;Orge_hiver;0;0;0;0;0;0;0;0;0
P102;2010-08-25;2010-08-25;Travail-sol;Labour;_;0;0;0;0;0;0;0;0;0
P102;2010-09-03;2010-09-03;Travail-sol;Reprise_de_sol;_;0;0;0;0;0;0;0;0;0
P102;2010-09-20;2010-09-20;Travail-sol;Prep_Semis;_;0;0;0;0;0;0;0;0;0
P102;2010-10-04;2010-10-04;Travail-sol;Roulage;_;0;0;0;0;0;0;0;0;0
P102;2011-05-15;2011-05-15;Travail-sol;Broyage;_;0;0;0;0;0;0;0;0;0
P102;2011-06-01;2011-06-05;Travail-sol;Broyage;_;0;0;0;0;0;0;0;0;0
P102;2011-06-25;2011-07-10;Travail-sol;Broyage;_;0;0;0;0;0;0;0;0;0
P102;2010-11-04;2010-11-04;Traitement;Herbicide;-;0;0;0;0;0;1.43333333333333;0;0;0
P102;2011-05-26;2011-05-26;Traitement;Fongicide;-;0;0;0;0;0;0;0.5;0;0
P102;2011-02-16;2011-02-16;Fertilisation;N;_;42;48;48;0;0;0;0;0;0
P102;2011-02-16;2011-02-16;Fertilisation;N;_;95;0;0;0;35;0;0;0;0
P102;2011-09-26;2012-07-27;Culture;Culture principale;Moutarde;0;0;0;0;0;0;0;0;0
P102;2012-07-27;2012-07-27;Recolte;Culture principale;Moutarde;0;0;0;0;0;0;0;0;0
P102;2011-07-15;2011-07-15;Travail-sol;Dechaumage;_;0;0;0;0;0;0;0;0;0
P102;2011-08-25;2011-08-25;Travail-sol;Reprise_de_sol;_;0;0;0;0;0;0;0;0;0
P102;2011-09-15;2011-09-15;Travail-sol;Reprise_de_sol;_;0;0;0;0;0;0;0;0;0
